site_id,lat,lon,timestamp,observed,predicted,residual,model_version,siteengname,countyen,townshipen,basinen,riveren,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chloride,Coliform Group,Conductivity,Copper,Dissolved Oxygen,Dissolved Oxygen Saturation,Hexavalent Chromium,Lead,Manganese,Mercury,NH3-N,Nickel,Nitrate-Nitrogen,Nitrite-Nitrogen,River Pollution Index,Selenium,Silver,Suspended Solid,Temperature,Total Organic Carbon,Total-Phosphate,Water Temperature,Zinc,pH,year,index,absolute_residual,is_anomaly,direction,threshold
1001,25.051144,121.500209,2021-01-07 11:51:29,3.25,3.2153780324525982,0.034621967547401766,Gradient Boosting,Jhongshou Bridge.,New Taipei City,Zhongzheng District,Danshuei River,Danshuei River,0.0005,3.2,0.001,7.6,15.1,530000.0,243.0,0.012,6.1,63.0,0.002,0.003,0.053,0.0003,2.38,0.012,0.45,0.082,3.25,0.001,0.001,17.1,12.4,1.7,0.382,17.2,0.017,7.44,2021,0,0.034621967547401766,False,normal,0.4044246213148957
1001,25.051144,121.500209,2025-10-09 06:36:48,6.25,5.8090082032357095,0.44099179676429046,Gradient Boosting,Jhongshou Bridge.,Taipei City,Zhongzheng District,Danshuei River,Danshuei River,,3.3,,22.4,561.0,180000.0,2920.0,,2.3,32.4,,,,,3.47,,,,6.25,,,74.7,27.3,,,28.4,,7.48,2025,1,0.44099179676429046,True,high,0.4044246213148957
1001,25.051144,121.500209,2026-07-07 10:25:00,2.5,2.834319225983502,-0.33431922598350194,Gradient Boosting,Jhongshou Bridge.,Taipei City,Zhongzheng District,Danshuei River,Danshuei River,0.0009,1.4,0.001,6.8,9.6,230000.0,192.0,0.006,5.9,72.8,0.002,0.003,0.06,0.0003,0.84,0.005,0.66,,2.5,,0.001,28.7,32.4,,0.13,26.4,0.016,7.42,2026,2,0.33431922598350194,False,normal,0.4044246213148957
1002,25.084174,121.5027969,2021-01-07 11:26:00,3.5,3.502439003626636,-0.0024390036266361825,Gradient Boosting,Chongyang Bridge,Taipei City,Shihlin District,Danshuei River,Danshuei River,0.0007,2.6,0.001,6.1,15.6,230000.0,233.0,0.004,3.5,36.0,0.002,0.003,0.044,0.0003,2.26,0.006,0.53,0.076,3.5,0.001,0.001,15.0,12.3,1.52,0.288,17.1,0.012,7.32,2021,3,0.0024390036266361825,False,normal,0.4044246213148957
1002,25.084174,121.5027969,2025-10-09 06:12:14,5.75,5.516641176912381,0.23335882308761935,Gradient Boosting,Chongyang Bridge,Taipei City,Shihlin District,Danshuei River,Danshuei River,,1.9,,19.2,1770.0,100000.0,6300.0,,2.6,33.5,,,,,3.24,,,,5.75,,,87.4,27.5,,,28.6,,7.32,2025,4,0.23335882308761935,False,normal,0.4044246213148957
1002,25.084174,121.5027969,2026-07-07 10:00:05,2.5,2.8056590721365837,-0.3056590721365837,Gradient Boosting,Chongyang Bridge,Taipei City,Shihlin District,Danshuei River,Danshuei River,0.0009,3.4,0.001,7.1,10.6,31000.0,224.0,0.004,5.7,72.6,0.002,0.003,0.044,0.0003,0.72,0.005,0.68,,2.5,,0.001,16.6,32.1,,0.115,28.3,0.012,7.33,2026,5,0.3056590721365837,False,normal,0.4044246213148957
1003,25.1248169,121.4572369,2021-01-07 11:02:00,3.5,3.7147761080661605,-0.21477610806616054,Gradient Boosting,Gwandu Bridge,New Taipei City,Bali District,Danshuei River,Danshuei River,0.0015,2.4,0.001,13.1,115.0,200000.0,653.0,0.004,4.2,42.5,0.002,0.003,0.03,0.0003,2.66,0.011,0.75,0.148,3.5,0.001,0.001,11.6,11.9,1.53,0.267,17.2,0.011,7.64,2021,6,0.21477610806616054,False,normal,0.4044246213148957
1003,25.1248169,121.4572369,2025-10-09 05:46:27,4.75,4.411017467336421,0.3389825326635787,Gradient Boosting,Gwandu Bridge,New Taipei City,Bali District,Danshuei River,Danshuei River,,1.0,,13.5,7030.0,19000.0,21600.0,,2.5,35.8,,,,,2.13,,,,4.75,,,77.6,27.4,,,29.8,,7.28,2025,7,0.3389825326635787,False,normal,0.4044246213148957
1003,25.1248169,121.4572369,2026-07-07 09:35:02,3.25,3.6036628836085636,-0.35366288360856357,Gradient Boosting,Gwandu Bridge,New Taipei City,Bali District,Danshuei River,Danshuei River,0.0015,1.2,0.001,12.2,436.0,19000.0,2890.0,0.005,4.3,56.8,0.002,0.003,0.063,0.0003,0.75,0.005,0.77,,3.25,,0.001,27.1,31.7,,0.158,29.0,0.014,7.23,2026,8,0.35366288360856357,False,normal,0.4044246213148957
1004,25.1709011,121.422745,2021-01-07 10:43:00,2.75,2.7846462771106992,-0.03464627711069923,Gradient Boosting,Danshuei River Mouth,New Taipei City,TamsuiDistrict,Danshuei River,Danshuei River,0.0015,1.2,0.001,4.0,4770.0,31000.0,16800.0,0.001,5.8,64.1,0.002,0.003,0.023,0.0003,1.33,0.005,0.55,0.115,2.75,0.001,0.001,14.2,11.7,0.46,0.139,17.1,0.007,7.52,2021,9,0.03464627711069923,False,normal,0.4044246213148957
1004,25.1709011,121.422745,2025-10-09 05:20:00,4.0,4.250734255138835,-0.25073425513883496,Gradient Boosting,Danshuei River Mouth,New Taipei City,TamsuiDistrict,Danshuei River,Danshuei River,,1.0,,13.3,15100.0,3700.0,39200.0,,3.7,55.6,,,,,0.91,,,,4.0,,,79.4,27.2,,,29.5,,7.64,2025,10,0.25073425513883496,False,normal,0.4044246213148957
1004,25.1709011,121.422745,2026-07-07 09:11:00,2.0,1.7112703940138756,0.2887296059861244,Gradient Boosting,Danshuei River Mouth,New Taipei City,TamsuiDistrict,Danshuei River,Danshuei River,0.0021,1.0,0.001,9.7,7190.0,3300.0,21300.0,0.001,5.7,79.9,0.002,0.003,0.041,0.0003,0.6,0.005,0.51,,2.0,,0.001,10.5,31.3,,0.146,30.4,0.003,7.69,2026,11,0.2887296059861244,False,normal,0.4044246213148957
1005,25.1064039,121.8054,2021-01-04 09:09:45,1.0,1.0484030473186072,-0.04840304731860723,Gradient Boosting,Jieshou Bridge,New Taipei City,Rueifang District,Danshuei River,Keelung River,0.0005,1.7,0.001,7.6,,72000.0,111.0,0.004,9.6,100.7,0.002,0.006,0.021,0.0003,0.16,0.005,0.73,0.008,1.0,0.001,0.001,20.0,16.2,0.78,0.095,17.5,0.012,7.5,2021,12,0.04840304731860723,False,normal,0.4044246213148957
1005,25.1064039,121.8054,2025-10-08 10:55:42,1.5,1.2878057476559477,0.21219425234405231,Gradient Boosting,Jieshou Bridge,New Taipei City,Rueifang District,Danshuei River,Keelung River,,1.4,,7.6,,43000.0,263.0,,7.4,97.5,,,,,0.64,,,,1.5,,,14.4,29.0,,,29.3,,8.03,2025,13,0.21219425234405231,False,normal,0.4044246213148957
1005,25.1064039,121.8054,2026-07-06 08:55:22,1.0,1.0428867179788925,-0.04288671797889254,Gradient Boosting,Jieshou Bridge,New Taipei City,Rueifang District,Danshuei River,Keelung River,0.0005,1.1,0.001,4.0,,66000.0,184.0,0.003,8.2,106.6,0.002,0.003,0.018,0.0003,0.23,0.005,0.26,,1.0,,0.001,5.3,27.5,,0.045,29.0,0.014,8.32,2026,14,0.04288671797889254,False,normal,0.4044246213148957
1006,25.1028361,121.7416289,2021-01-04 13:03:08,1.5,1.4967622978279964,0.003237702172003587,Gradient Boosting,Nungen Bridge,Keelung City,Nuannuan District,Danshuei River,Keelung River,0.0005,2.1,0.001,7.5,,310000.0,120.0,0.002,9.2,97.6,0.002,0.003,0.027,0.0003,0.26,0.005,0.75,0.029,1.5,0.001,0.001,46.2,18.1,1.13,0.164,18.0,0.013,7.42,2021,15,0.003237702172003587,False,normal,0.4044246213148957
1006,25.1028361,121.7416289,2025-10-08 11:46:05,1.5,1.3880171787488609,0.11198282125113912,Gradient Boosting,Nungen Bridge,Keelung City,Nuannuan District,Danshuei River,Keelung River,,1.8,,12.9,,4800.0,290.0,,8.0,106.2,,,,,0.63,,,,1.5,,,3.0,31.0,,,30.4,,8.01,2025,16,0.11198282125113912,False,normal,0.4044246213148957
1006,25.1028361,121.7416289,2026-07-06 09:47:31,1.0,1.0428867179788925,-0.04288671797889254,Gradient Boosting,Nungen Bridge,Keelung City,Nuannuan District,Danshuei River,Keelung River,0.0006,1.0,0.001,4.0,,44000.0,214.0,0.002,7.4,99.5,0.002,0.003,0.029,0.0003,0.24,0.005,1.24,,1.0,,0.001,3.8,27.7,,0.083,30.2,0.009,7.96,2026,17,0.04288671797889254,False,normal,0.4044246213148957
1007,25.0947711,121.7037589,2021-01-04 13:49:43,2.25,2.398023420704911,-0.14802342070491115,Gradient Boosting,Liuho Bridge,Keelung City,Cidu District,Danshuei River,Keelung River,0.0005,3.0,0.001,10.9,,340000.0,120.0,0.003,9.3,98.0,0.002,0.003,0.036,0.0003,0.28,0.005,0.86,0.038,2.25,0.001,0.001,62.7,17.8,1.39,0.2,18.0,0.013,7.14,2021,18,0.14802342070491115,False,normal,0.4044246213148957
1007,25.0947711,121.7037589,2025-10-08 12:56:54,3.5,3.792516559429248,-0.2925165594292478,Gradient Boosting,Liuho Bridge,Keelung City,Cidu District,Danshuei River,Keelung River,,6.7,,20.4,,40000.0,353.0,,7.8,103.8,,,,,2.33,,,,3.5,,,6.0,28.6,,,30.3,,7.88,2025,19,0.2925165594292478,False,normal,0.4044246213148957
1007,25.0947711,121.7037589,2026-07-06 13:03:00,1.5,1.4967622978279964,0.003237702172003587,Gradient Boosting,Liuho Bridge,Keelung City,Cidu District,Danshuei River,Keelung River,0.001,1.9,0.001,6.5,,29000.0,228.0,0.004,6.6,90.2,0.002,0.003,0.05,0.0003,0.45,0.005,1.43,,1.5,,0.001,22.2,29.1,,0.17,31.6,0.016,7.51,2026,20,0.003237702172003587,False,normal,0.4044246213148957
