siteengname,observations,first_risk,latest_risk,mean_score,hotspot_status
Agongdian Bridge,3,HIGH,HIGH,5.166666666666667,PERSISTENT
Agongdian River,3,LOW,MEDIUM,1.5833333333333333,STABLE/LOWER_RISK
Ailan Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Aowei Bridge,3,MEDIUM,LOW,1.3333333333333333,STABLE/LOWER_RISK
Bajhang River Bridge,3,HIGH,MEDIUM,3.3333333333333335,IMPROVING
Bansin Intake,3,MEDIUM,LOW,1.3333333333333333,STABLE/LOWER_RISK
Bao Bridge,3,MEDIUM,MEDIUM,1.5,STABLE/LOWER_RISK
Beetan Bridge,3,LOW,LOW,1.1666666666666667,STABLE/LOWER_RISK
Beifan Bridge,3,LOW,MEDIUM,1.5555566666666667,STABLE/LOWER_RISK
Beigangda Bridge,3,HIGH,HIGH,4.333333333333333,PERSISTENT
Beinoon Brideg,3,HIGH,HIGH,3.75,PERSISTENT
Beisan Bridge,3,MEDIUM,MEDIUM,1.5833333333333333,STABLE/LOWER_RISK
Bendzugon Bridge,3,HIGH,HIGH,6.666666666666667,PERSISTENT
Bialin Bridge,3,HIGH,MEDIUM,3.5833333333333335,IMPROVING
Bimei Bridge,3,LOW,MEDIUM,1.1666666666666667,STABLE/LOWER_RISK
Changcing Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Chaojhouda Bridge,3,LOW,LOW,1.3333333333333333,STABLE/LOWER_RISK
Chenfon Bridge,3,LOW,MEDIUM,1.4166666666666667,STABLE/LOWER_RISK
Chenguo Village,3,HIGH,HIGH,5.75,PERSISTENT
Chenho Bridge,2,HIGH,LOW,2.25,IMPROVING
Chenmei Bridge,3,MEDIUM,MEDIUM,2.8333333333333335,STABLE/LOWER_RISK
Chenniao Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Chenren Bridge,3,HIGH,HIGH,4.0,PERSISTENT
Chiacin Village,3,MEDIUM,MEDIUM,1.5,STABLE/LOWER_RISK
Chiali No 2 Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Chiananda Bridge,3,MEDIUM,HIGH,3.3333333333333335,PERSISTENT
Chintan Weir,3,LOW,LOW,1.1666666666666667,STABLE/LOWER_RISK
Chintan Weir Intake,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Chintsao Lake,3,HIGH,MEDIUM,2.75,IMPROVING
Chinyie Bridge,3,HIGH,MEDIUM,4.0,IMPROVING
Chiuche Weir,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Chongdeda Bridge,3,HIGH,HIGH,5.083333333333333,PERSISTENT
Chongyang Bridge,3,HIGH,MEDIUM,3.9166666666666665,IMPROVING
Choulia Bridge,2,HIGH,MEDIUM,3.25,IMPROVING
Chuko Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Cianchou Bridge,3,HIGH,HIGH,5.916666666666667,PERSISTENT
Ciechen Bridge,2,LOW,LOW,1.0,STABLE/LOWER_RISK
Cihtong no. 1 Bridge,3,MEDIUM,MEDIUM,3.6666666666666665,STABLE/LOWER_RISK
Cinan Bridge,3,LOW,MEDIUM,2.5,STABLE/LOWER_RISK
Cingliu Bridge,3,LOW,MEDIUM,1.1666666666666667,STABLE/LOWER_RISK
Cingshueida Gate,3,LOW,HIGH,2.25,EMERGING
Cinhi Bridge,3,HIGH,MEDIUM,5.333333333333333,IMPROVING
Cinsheda Bridge,3,HIGH,HIGH,4.5,PERSISTENT
Ciulan Bridge,3,MEDIUM,LOW,1.9166666666666667,STABLE/LOWER_RISK
Da-an River Bridge,2,LOW,HIGH,2.375,EMERGING
Da-an River Mouth,1,HIGH,HIGH,3.75,SINGLE_OBSERVATION
Dabaliugeoba Intake,1,HIGH,HIGH,,SINGLE_OBSERVATION
Dadu Bridge,3,HIGH,MEDIUM,2.4166666666666665,IMPROVING
Dagean Bridge,3,HIGH,MEDIUM,3.25,IMPROVING
Dahan Bridge,3,MEDIUM,LOW,1.9166666666666667,STABLE/LOWER_RISK
Dajhih Bridge,3,HIGH,MEDIUM,3.0,IMPROVING
Dajhuoshuei Bridge,3,MEDIUM,HIGH,3.6666666666666665,EMERGING
Dajia River Bridge,2,LOW,LOW,1.0,STABLE/LOWER_RISK
Dakwai River Bridge,3,HIGH,HIGH,5.5,PERSISTENT
Dali Bridge,3,HIGH,LOW,2.75,IMPROVING
Danan Bridge,3,HIGH,LOW,1.0,IMPROVING
Danshuei River Mouth,3,MEDIUM,MEDIUM,2.9166666666666665,STABLE/LOWER_RISK
Dapoo Bridge,2,HIGH,HIGH,6.125,PERSISTENT
Diolin Station,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Dong Xing Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Dongcin Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
